5	a	2025-04-29 14:08:13.986698	middle	
5	c	2025-04-29 14:08:26.062613	middle	
5	d	2025-04-29 14:08:34.558775	middle	
5	l	2025-04-29 14:08:38.681885	middle	
5	r	2025-04-29 14:08:40.823269	middle	
5	a	2025-04-29 14:12:53.820401	middle	
5	v	2025-04-29 14:13:06.198558	middle	
2	s	2025-04-29 14:13:18.751362	middle	
2	s	2025-04-29 14:13:20.332651	middle	
2	s	2025-04-29 14:13:21.935770	middle	
2	s	2025-04-29 14:13:23.541919	middle	
2	s	2025-04-29 14:13:25.119580	middle	
2	s	2025-04-29 14:13:26.720965	middle	
2	s	2025-04-29 14:13:28.303860	middle	
2	s	2025-04-29 14:13:29.898942	middle	
2	s	2025-04-29 14:13:31.390761	middle	
2	s	2025-04-29 14:13:32.954291	middle	
2	s	2025-04-29 14:13:34.516375	middle	
2	s	2025-04-29 14:13:36.050707	middle	
